ID,WAR,G,OPS,wOBA,wRC+,WPA,BB/K,IsoP,IsoD,BABIP,Spd,pLI,Clutch,P/PA
NC-21,0.12,17,0.706,0.338,89.1,0.16,0.67,0.125,0.116,0.261,4.2,0.16,0.24,3.84
Å°¿ò-46,-0.06,13,0.633,0.28,58.5,-0.08,0.12,0.2,0.033,0.273,1.5,-0.08,-0.19,3.98
»ï¼º-47,1.24,32,0.945,0.426,145.5,-0.22,0.85,0.189,0.058,0.36,1.2,-0.22,0.72,3.3
KT-50,1.81,35,1.049,0.475,178.8,1.63,1.12,0.183,0.064,0.424,3.7,1.63,1.55,4.07
NC-36,0.43,34,0.816,0.373,109.6,-0.29,1.13,0.215,0.145,0.213,3,-0.29,0.24,4.29
SSG-68,-0.12,1,0,0,-131.4,-0.02,0,0,0,0,0,-0.02,-0.04,4
µÎ»ê-25,0.11,8,0.705,0.333,95.7,-0.03,0.8,0.13,0.14,0.235,2.2,-0.03,0.08,3.93
LG-51,1.38,35,0.84,0.405,139,1,1.37,0.113,0.126,0.336,5.6,1,0.82,4.15
KT-3,0.1,17,0.806,0.392,123.4,-0.02,0.75,0.167,0.194,0.4,5.8,-0.02,0.04,4.46
µÎ»ê-15,-0.13,4,0.25,0.12,-52.1,-0.11,0,0,0,0.167,1.9,-0.11,-0.18,4.38
LG-2,-0.06,30,0.431,0.219,16.7,-0.09,0.33,0.1,0.131,0.125,3.9,-0.09,-0.14,5.08
»ï¼º-6,-0.24,34,0.599,0.293,62.1,0.01,0.5,0.025,0.099,0.339,1.8,0.01,-0.15,4.36
µÎ»ê-7,-0.05,15,0.481,0.233,25.3,-0.2,0.17,0.083,0.064,0.333,3.9,-0.2,-0.14,4.46
»ï¼º-5,1.37,36,0.931,0.415,141.2,1.81,0.77,0.224,0.08,0.343,6.5,1.81,1.24,4.46
ÇÑÈ­-7,-0.17,13,0.406,0.226,18.2,-0.26,0.4,0,0.133,0.25,3.5,-0.26,-0.25,4.5
Å°¿ò-1,0.33,33,0.718,0.342,96.3,0.36,0.49,0.116,0.106,0.326,2.8,0.36,0.53,4.17
NC-1,-0.01,13,0.619,0.293,59.6,-0.08,0,0.167,0.119,0.167,5.9,-0.08,-0.11,3.5
ÇÑÈ­-39,0.22,19,0.757,0.369,111.8,0.49,0.5,0.123,0.143,0.351,4,0.49,0.34,4.38
·Ôµ¥-1,-0.32,12,0,0,-131.4,-0.22,0,0,0,0,0,-0.22,-0.33,4.07
·Ôµ¥-27,-0.13,16,0.508,0.233,19,-0.36,0.43,0.2,0.108,0.077,3.1,-0.36,-0.28,3.38
NC-6,0.25,14,0.887,0.414,141.2,0.21,0.5,0.048,0.077,0.471,2.3,0.21,0.09,3.44
SSG-38,-0.27,10,0.376,0.205,4.8,-0.46,0.75,0,0.104,0.167,3.3,-0.46,-0.25,4.08
·Ôµ¥-5,-0.13,11,0.465,0.225,15.3,-0.41,0.11,0.048,0.037,0.333,3.9,-0.41,-0.19,3.91
ÇÑÈ­-17,0.03,11,0.583,0.293,62,-0.42,0.63,0.028,0.111,0.286,5.5,-0.42,-0.01,3.7
·Ôµ¥-34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
µÎ»ê-27,0,3,0,0,0,0,0,0,0,0,0,0,0,0
·Ôµ¥-12,0.03,13,0.64,0.302,64,0.05,0.25,0.087,0.031,0.316,5.9,0.05,-0.12,3.96
Å°¿ò-37,0.01,6,0.722,0.327,84.8,-0.05,0,0.167,0,0.417,2.4,-0.05,-0.12,3.44
KIA-14,-0.09,22,0.404,0.223,15.1,-0.14,0.43,0.077,0.173,0.167,3.9,-0.14,-0.08,4.81
·Ôµ¥-44,0.55,32,0.75,0.348,94.8,-0.26,0.42,0.167,0.083,0.31,2.8,-0.26,-0.24,4.21
Å°¿ò-32,-0.06,8,0.167,0.125,-47.6,-0.09,0.5,0,0.167,0,1.9,-0.09,-0.05,3.5
KT-26,0,2,0,0,0,0,0,0,0,0,0,0,0,0
KIA-24,0.5,27,0.793,0.378,118.3,0.43,0.89,0.119,0.136,0.333,1.6,0.43,0.07,4.41
KT-53,0.39,28,0.767,0.369,110.8,-0.14,0.63,0.067,0.1,0.409,6.1,-0.14,0.04,4.07
»ï¼º-38,-0.47,11,0.33,0.176,-15.1,-0.34,0.3,0,0.08,0.16,3.3,-0.34,-0.45,4.1
NC-42,0.29,26,0.741,0.34,89.9,0.22,0.75,0.161,0.096,0.25,3.4,0.22,0.22,3.48
LG-16,0.06,34,0.617,0.292,65.8,0.03,0.63,0.124,0.086,0.226,2.2,0.03,-0.27,4.31
»ï¼º-12,0.68,14,1.244,0.532,213.7,0.4,1.33,0.345,0.071,0.417,0.7,0.4,0.22,3.68
NC-47,1.04,35,0.907,0.403,129.1,1.44,0.43,0.273,0.089,0.29,4.3,1.44,0.47,3.86
LG-5,0.02,27,0.543,0.268,46.4,0.14,1.5,0,0.257,0.2,6.4,0.14,0.03,3.67
KT-14,0.7,14,1.482,0.623,274.9,0.78,1.6,0.471,0.188,0.5,5.9,0.78,0.73,3.88
KIA-3,0.62,32,0.733,0.358,103.3,1.1,1.21,0.062,0.082,0.33,1.5,1.1,0.04,3.83
KT-62,0,2,0,0,0,0,0,0,0,0,0,0,0,0
µÎ»ê-46,0,1,0,0,0,0,0,0,0,0,0,0,0,0
·Ôµ¥-51,0.14,4,0.871,0.428,149.2,0.22,0.67,0,0.071,0.5,4,0.22,0.11,4.18
SSG-0,0.06,29,0.663,0.316,77.4,-0.64,0.25,0.105,0.081,0.3,3.7,-0.64,-0.26,3.88
SSG-16,0.4,28,0.704,0.332,88.4,0.29,1.25,0.081,0.083,0.288,3,0.29,0.2,3.62
µÎ»ê-20,-0.05,2,0,0,-131.4,-0.01,0,0,0,0,0,-0.01,-0.05,4
KIA-5,0.58,14,0.883,0.409,136.4,0.3,0.25,0.073,0.011,0.431,5.3,0.3,0.22,3.18
KIA-53,0.01,19,0.6,0.293,61.7,-0.32,0.38,0.116,0.158,0.231,2.9,-0.32,-0.13,3.71
NC-52,0.7,30,0.769,0.361,103.8,-0.22,0.52,0.146,0.099,0.319,3.1,-0.22,0.14,3.87
LG-12,0.13,15,0.736,0.332,96.3,-0.02,0.33,0.2,0.036,0.25,1.6,-0.02,0.04,3.76
LG-62,0.07,3,0.952,0.396,150.8,-0.29,0.33,0.5,0.119,0,1.9,-0.29,-0.05,4.29
µÎ»ê-39,0.56,30,0.794,0.39,129.4,-0.11,1.14,0.066,0.123,0.355,2.2,-0.11,0.2,3.85
SSG-32,-0.38,19,0,0,-131.4,-0.09,0,0,0,0,0,-0.09,-0.22,3.33
NC-15,-0.5,16,0.192,0.108,-60.4,-0.51,0.17,0,0.058,0.083,2.7,-0.51,-0.55,3.94
KIA-6,-0.36,16,0.339,0.161,-27.3,-0.49,0,0,0.006,0.263,0.1,-0.49,-0.49,3.93
KIA-29,0.02,16,0.569,0.312,72.6,-0.11,0.53,0.02,0.181,0.281,1,-0.11,-0.21,4.46
SSG-52,0.05,6,0.764,0.363,110.8,-0.06,0.25,0.1,0.064,0.5,0.9,-0.06,-0.02,5.09
