ID,WAR,ERA,WHIP,WPA,K-BB%,BABIP,LOB%,IP/G,P/PA,RAA,RAR,WAA,Fastball,Slider,Curve,ChangeUP,Splitter,Sinker,Knurkle
»ï¼º-17,0.11,5.87,1.57,-0.46,5.7,0.315,66.0,1.7,3.37,-0.13,2.2,-0.1,-1.6,-0.5,0.0,0.0,0.0,-1.0,0.0
»ï¼º-25,-0.23,7.71,2.89,-0.2,0.0,0.424,62.0,0.9,3.53,-5.93,-2.31,-0.35,-6.4,1.4,0.0,0.0,0.0,0.0,0.0
µÎ»ê-47,0.09,4.5,1.93,-0.22,0.0,0.349,78.9,4.7,3.61,-0.68,1.81,-0.1,1.6,-1.1,-0.5,-0.1,0.0,0.0,0.0
SSG-99,-0.12,36.0,7.0,0.0,-30.0,0.6,42.9,1.0,4.2,-3.36,-1.58,-0.14,-4.0,0.0,0.0,0.5,0.0,0.0,0.0
LG-19,1.01,0.66,0.73,0.7,14.0,0.2,90.9,1.0,3.74,6.41,12.58,0.83,6.3,0.1,-1.4,0.0,0.0,0.0,0.0
ÇÑÈ­-7,-0.13,54.0,7.5,0.0,-25.0,0.6,33.3,0.7,3.5,-3.62,-1.74,-0.14,-0.2,0.0,0.0,-0.1,0.0,-3.6,0.0
KIA-60,-0.33,9.82,2.73,-0.31,0.0,0.515,55.0,1.2,3.6,-4.77,-3.08,-0.43,0.0,-4.0,0.0,0.0,0.0,-0.8,0.0
KT-1,0.62,4.4,1.19,-0.08,15.0,0.32299999999999995,66.9,6.1,3.51,1.52,8.95,0.04,1.1,0.0,-1.6,2.6,0.0,0.0,0.0
KT-26,0.22,3.15,1.6,0.26,17.4,0.42100000000000004,69.6,1.3,3.76,0.54,4.21,-0.05,4.0,-2.5,0.0,-1.3,0.0,0.0,0.0
LG-69,0.48,2.4,0.53,0.71,28.1,0.133,58.1,0.9,3.98,3.17,6.89,0.28,5.4,0.5,-1.1,0.8,0.0,0.0,0.0
SSG-31,0.45,4.5,1.86,0.94,4.5,0.33299999999999996,81.9,1.2,4.08,1.81,8.41,0.26,0.2,-0.3,-0.9,0.0,2.5,0.0,0.0
Å°¿ò-60,0.46,3.09,1.33,0.0,3.1,0.307,79.8,1.7,3.78,4.71,5.37,0.14,5.4,0.0,1.2,-1.6,0.0,-1.1,0.0
µÎ»ê-38,-0.05,18.0,4.0,0.0,-14.3,0.5,50.0,1.0,3.71,-1.46,-0.63,-0.07,0.0,0.0,-0.1,0.0,-0.1,-1.3,0.0
NC-53,1.17,2.83,1.19,0.59,12.5,0.263,84.9,3.2,4.0,7.1,11.68,0.78,0.9,1.8,-0.9,7.8,-1.8,0.0,0.0
»ï¼º-39,0.7,4.05,1.08,0.33,17.9,0.24100000000000002,70.6,4.8,4.38,3.47,9.11,0.26,0.2,6.8,-0.8,-0.3,0.0,-2.1,0.0
µÎ»ê-27,1.08,1.56,1.5,0.48,7.8,0.27699999999999997,99.1,1.1,3.57,6.88,13.93,0.85,5.4,0.2,0.8,0.0,0.3,0.0,0.0
SSG-33,-0.11,10.38,3.69,-0.05,-7.1,0.563,68.8,0.9,4.07,-2.28,-1.02,-0.17,-5.7,0.6,0.0,0.0,-0.6,0.0,0.0
µÎ»ê-46,0.17,3.78,1.38,-0.1,6.8,0.32799999999999996,67.8,1.3,4.0,0.5,2.94,-0.06,2.2,0.9,0.5,-0.2,-3.3,0.0,0.0
KIA-49,-0.43,8.66,1.76,-0.78,-3.8,0.25,54.2,4.4,4.16,-7.45,-3.95,-0.67,-5.4,1.0,-3.5,0.1,0.0,0.0,0.0
