PlayerID,Name,Team,Position,PitchType,BatType,League,Payment,Salary,DebutYear,DebutTeam,AgencyID
NC-21,강동연,NC,투수,우투,우타,1,0,4400,2012,두산,0
NC-68,강윤구,NC,투수,좌투,좌타,1,12000,10000,2009,히어로즈,0
NC-49,강진성,NC,내야수,우투,우타,1,7000,12000,2012,NC,0
NC-78,강태경,NC,투수,우투,좌타,2,7000,3000,,,0
NC-59,구창모,NC,투수,좌투,좌타,1,15000,25000,2015,NC,12
NC-65,권법수,NC,외야수,우투,우타,2,5000,3000,2017,NC,0
NC-36,권희동,NC,외야수,우투,우타,1,3000,17000,2013,NC,15
NC-24,김건태,NC,투수,우투,우타,1,18000,8000,2010,넥센,0
NC-8,김기환,NC,외야수,우투,좌타,2,9000,3000,2015,삼성,0
NC-5,김민수,NC,내야수,우투,우타,1,4000,3000,2017,NC,0
NC-69,김범준,NC,외야수,우투,우타,2,6000,3000,,,0
NC-58,김영규,NC,투수,좌투,좌타,1,4000,8300,2018,NC,15
NC-57,김영중,NC,투수,우투,우타,2,7000,3000,,,0
NC-103,김재중,NC,외야수,우투,우타,2,3000,3000,,,0
NC-102,김정호,NC,포수,우투,우타,2,4000,3000,,,0
NC-7,김주원,NC,내야수,우투,양타,1,15000,3000,2021,NC,0
NC-100,김준상,NC,내야수,우투,우타,2,5000,3000,,,0
NC-1,김준완,NC,외야수,우투,좌타,1,0,6000,2013,NC,0
NC-55,김진성,NC,투수,우투,우타,1,0,20000,2005,SK,0
NC-104,김진우,NC,투수,좌투,좌타,2,3000,3000,,,0
NC-61,김진호,NC,투수,우투,우타,1,9000,3000,2017,NC,0
NC-6,김찬형,NC,내야수,우투,우타,1,5000,4800,2016,NC,2
NC-3,김철호,NC,내야수,우투,좌타,2,8000,3000,2018,NC,0
NC-60,김태경,NC,투수,우투,우타,1,15000,3000,2020,NC,0
NC-42,김태군,NC,포수,우투,우타,1,8000,20000,2008,LG,9
NC-29,김태현,NC,투수,좌투,좌타,1,30000,3000,2017,NC,0
NC-47,나성범,NC,외야수,좌투,좌타,1,30000,78000,2012,NC,0
NC-63,노시훈,NC,투수,우투,우타,1,3000,3000,2021,NC,0
NC-52,노진혁,NC,내야수,우투,좌타,1,8000,23000,2012,NC,0
NC-15,도태훈,NC,내야수,우투,좌타,1,0,3200,2016,NC,16
NC-40,루친스키,NC,투수,우투,우타,1,300000,1300000,2019,NC,0
NC-41,류진욱,NC,투수,우투,우타,1,10000,3000,2015,NC,0
NC-16,모창민,NC,내야수,우투,우타,1,12000,30000,2008,SK,6
NC-56,문경찬,NC,투수,우투,우타,1,11000,11500,2015,KIA,2
NC-26,박대온,NC,포수,우투,우타,2,10000,3000,2014,NC,16
NC-2,박민우,NC,내야수,우투,좌타,1,16000,63000,2012,NC,12
NC-18,박석민,NC,내야수,우투,우타,1,18000,70000,2004,삼성,0
NC-43,박시원,NC,외야수,우투,좌타,1,12000,3000,2020,NC,0
NC-39,박정수,NC,투수,우언,좌타,1,5000,4500,2015,KIA,0
NC-13,박준영,NC,내야수,우투,우타,1,20000,3200,2016,NC,0
NC-99,박지한,NC,투수,좌투,좌타,2,4000,3000,,,0
NC-30,박진우,NC,투수,우언,우타,1,0,11500,2015,NC,0
NC-44,배민서,NC,투수,우언,우타,1,7000,3100,2019,NC,0
NC-50,소이현,NC,투수,우투,우타,1,8000,3100,2017,NC,0
NC-14,손정욱,NC,투수,좌투,좌타,1,12000,4400,2013,NC,0
NC-62,송명기,NC,투수,우투,우타,1,16000,11000,2019,NC,0
NC-53,신민혁,NC,투수,우투,우타,1,6000,4000,2020,NC,0
NC-31,안인산,NC,투수,우투,우타,1,10000,3000,2020,NC,0
NC-23,알테어,NC,외야수,우투,우타,1,200000,1100000,2020,NC,0
NC-25,양의지,NC,포수,우투,우타,1,3000,150000,2006,두산,6
NC-91,오장한,NC,외야수,우투,좌타,1,8000,3000,2021,NC,0
